Voltage (V), Current (A), Standard Deviation (A), Pressure (Torr), Measurement delay (s), TC7, TC8
0.00000E+0, 1.19600E-12, 7.27033E-12, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.00000E+1, 4.51232E-9, 2.66764E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.00000E+1, 9.02633E-9, 4.45880E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
3.00000E+1, 1.35398E-8, 2.22723E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
4.00000E+1, 1.80458E-8, 4.42082E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
5.00000E+1, 2.25754E-8, 4.13755E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
6.00000E+1, 2.71141E-8, 3.09922E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
7.00000E+1, 3.16369E-8, 7.05259E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
8.00000E+1, 3.61194E-8, 1.91038E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
9.00000E+1, 4.06271E-8, 9.34125E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.00000E+2, 4.51585E-8, 1.21089E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.10000E+2, 4.96875E-8, 1.09389E-9, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.20000E+2, 5.41958E-8, 1.13480E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.30000E+2, 5.87157E-8, 1.07799E-9, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.40000E+2, 6.32350E-8, 1.16159E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.50000E+2, 6.77244E-8, 8.01656E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.60000E+2, 7.22477E-8, 1.16985E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.70000E+2, 7.68100E-8, 5.16375E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.80000E+2, 8.13496E-8, 4.08705E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.90000E+2, 8.58487E-8, 3.21298E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.00000E+2, 9.03643E-8, 7.07363E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.10000E+2, 9.49329E-8, 1.89234E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.20000E+2, 9.94594E-8, 9.34859E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.30000E+2, 1.03972E-7, 1.23442E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.40000E+2, 1.08501E-7, 1.09761E-9, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.50000E+2, 1.13037E-7, 1.13927E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.75000E+2, 1.24339E-7, 1.11288E-9, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
3.00000E+2, 1.35612E-7, 1.15112E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
3.25000E+2, 1.46870E-7, 9.83601E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
3.50000E+2, 1.58114E-7, 1.58798E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
3.75000E+2, 1.69343E-7, 8.18926E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
4.00000E+2, 1.80581E-7, 2.36998E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
4.25000E+2, 1.91871E-7, 6.10889E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
4.50000E+2, 2.03156E-7, 3.65170E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
4.75000E+2, 2.14401E-7, 1.02056E-9, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
5.00000E+2, 2.25545E-7, 4.69633E-11, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
-0.00000E+0, -1.18710E-11, 5.26079E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-1.00000E+1, -4.52038E-9, 4.22152E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-2.00000E+1, -9.02846E-9, 5.74398E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-3.00000E+1, -1.35124E-8, 3.79739E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-4.00000E+1, -1.79984E-8, 1.11563E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-5.00000E+1, -2.25296E-8, 1.47021E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-6.00000E+1, -2.70405E-8, 1.05026E-9, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-7.00000E+1, -3.15297E-8, 1.09417E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-8.00000E+1, -3.60275E-8, 1.11710E-9, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-9.00000E+1, -4.05287E-8, 1.18885E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-1.00000E+2, -4.50219E-8, 9.10067E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
-1.10000E+2, -4.95349E-8, 8.69015E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
